station,station_name,valid(UTC),tmpf,dwpf,sknt,drct,gust_drct,gust_sknt,vis1_coeff,vis1_nd,vis2_coeff,vis2_nd,vis3_coeff,vis3_nd,ptype,precip,pres1,pres2,pres3
MAE,Madera,2023-01-03 05:00,46,41,13,111,117,15,0.05,N,M,M,M,M,NP,0.0,29.652,29.661,M
MAE,Madera,2023-01-03 06:00,47,42,13,112,112,15,0.05,N,M,M,M,M,NP,0.0,29.651,29.66,M
MAE,Madera,2023-01-03 07:00,48,42,10,125,128,11,0.05,N,M,M,M,M,NP,0.0,29.649,29.657,M
MAE,Madera,2023-01-03 08:00,48,42,7,125,123,8,0.05,N,M,M,M,M,NP,0.0,29.66,29.668,M
MAE,Madera,2023-01-03 09:00,45,41,6,172,181,6,0.05,N,M,M,M,M,NP,0.0,29.659,29.667,M
MAE,Madera,2023-01-03 10:00,45,42,5,178,174,5,0.05,N,M,M,M,M,NP,0.0,29.668,29.676,M
MAE,Madera,2023-01-03 11:00,47,42,7,145,145,9,0.05,N,M,M,M,M,NP,0.0,29.682,29.69,M
MAE,Madera,2023-01-03 12:00,47,43,6,141,137,7,0.05,N,M,M,M,M,NP,0.0,29.702,29.71,M
MAE,Madera,2023-01-03 13:00,45,42,6,132,128,7,0.061,N,M,M,M,M,NP,0.0,29.678,29.686,M
MAE,Madera,2023-01-03 14:00,44,42,5,130,132,5,0.067,N,M,M,M,M,NP,0.0,29.688,29.696,M
MAE,Madera,2023-01-03 15:00,44,41,4,126,119,5,0.078,N,M,M,M,M,NP,0.0,29.712,29.72,M
MAE,Madera,2023-01-03 16:00,47,43,5,148,148,6,0.051,D,M,M,M,M,NP,0.0,29.726,29.734,M
MAE,Madera,2023-01-03 17:00,49,44,5,154,163,7,0.05,D,M,M,M,M,NP,0.0,29.756,29.764,M
MAE,Madera,2023-01-03 18:00,52,45,4,162,136,5,0.05,D,M,M,M,M,NP,0.0,29.783,29.791,M
MAE,Madera,2023-01-03 19:00,55,45,4,119,125,4,0.05,D,M,M,M,M,NP,0.0,29.766,29.774,M
MAE,Madera,2023-01-03 20:00,57,46,6,79,86,7,0.05,D,M,M,M,M,NP,0.0,29.754,29.762,M
MAE,Madera,2023-01-03 21:00,59,46,10,103,110,12,0.05,D,M,M,M,M,NP,0.0,29.739,29.747,M
MAE,Madera,2023-01-03 22:00,58,45,6,116,127,6,0.05,D,M,M,M,M,NP,0.0,29.742,29.75,M
MAE,Madera,2023-01-03 23:00,58,46,9,128,129,10,0.05,D,M,M,M,M,NP,0.0,29.728,29.736,M
MAE,Madera,2023-01-04 00:00,58,45,6,151,150,6,0.05,D,M,M,M,M,NP,0.0,29.742,29.75,M
MAE,Madera,2023-01-04 01:00,56,45,6,190,188,7,0.05,N,M,M,M,M,NP,0.0,29.749,29.757,M
MAE,Madera,2023-01-04 02:00,53,46,5,158,157,6,0.05,N,M,M,M,M,NP,0.0,29.747,29.755,M
MAE,Madera,2023-01-04 03:00,50,45,4,113,112,4,0.071,N,M,M,M,M,NP,0.0,29.767,29.775,M
MAE,Madera,2023-01-04 04:00,49,44,4,77,80,5,0.111,N,M,M,M,M,NP,0.0,29.763,29.771,M
MAE,Madera,2023-01-04 05:00,49,44,6,87,84,7,0.096,N,M,M,M,M,NP,0.0,29.745,29.754,M
MAE,Madera,2023-01-04 06:00,45,42,5,96,95,5,0.09,N,M,M,M,M,NP,0.0,29.761,29.77,M
MAE,Madera,2023-01-04 07:00,47,44,7,83,84,7,0.07,N,M,M,M,M,NP,0.0,29.756,29.764,M
MAE,Madera,2023-01-04 08:00,47,43,3,90,93,3,0.063,N,M,M,M,M,NP,0.0,29.743,29.75,M
MAE,Madera,2023-01-04 09:00,46,43,4,156,154,4,0.078,N,M,M,M,M,NP,0.0,29.718,29.726,M
MAE,Madera,2023-01-04 10:00,46,43,6,106,104,6,0.078,N,M,M,M,M,NP,0.0,29.708,29.716,M
MAE,Madera,2023-01-04 11:00,47,43,6,135,132,7,0.058,N,M,M,M,M,NP,0.0,29.707,29.715,M
MAE,Madera,2023-01-04 12:00,48,43,9,115,118,10,0.05,N,M,M,M,M,NP,0.0,29.672,29.68,M
MAE,Madera,2023-01-04 13:00,48,42,9,161,160,11,0.05,N,M,M,M,M,NP,0.0,29.682,29.689,M
MAE,Madera,2023-01-04 14:00,50,45,8,146,150,11,0.128,N,M,M,M,M,P ,0.0,29.696,29.703,M
MAE,Madera,2023-01-04 15:00,50,45,7,105,109,8,0.142,N,M,M,M,M,R-,0.0,29.705,29.713,M
MAE,Madera,2023-01-04 16:00,50,45,11,64,69,13,0.264,D,M,M,M,M,R-,0.0,29.688,29.696,M
MAE,Madera,2023-01-04 17:00,52,43,10,84,83,11,0.05,D,M,M,M,M,NP,0.0,29.688,29.696,M
MAE,Madera,2023-01-04 18:00,57,44,12,125,124,15,0.05,D,M,M,M,M,NP,0.0,29.661,29.669,M
MAE,Madera,2023-01-04 19:00,57,46,10,154,149,11,0.05,D,M,M,M,M,NP,0.0,29.662,29.67,M
MAE,Madera,2023-01-04 20:00,57,48,8,156,150,11,0.05,D,M,M,M,M,NP,0.0,29.622,29.63,M
MAE,Madera,2023-01-04 21:00,62,46,15,127,129,18,0.05,D,M,M,M,M,NP,0.0,29.584,29.592,M
MAE,Madera,2023-01-04 22:00,63,45,15,124,122,16,0.05,D,M,M,M,M,NP,0.0,29.548,29.556,M
MAE,Madera,2023-01-04 23:00,64,45,11,141,142,13,0.05,D,M,M,M,M,NP,0.0,29.525,29.533,M
MAE,Madera,2023-01-05 00:00,66,42,17,137,142,20,0.05,D,M,M,M,M,NP,0.0,29.504,29.513,M
MAE,Madera,2023-01-05 01:00,64,45,15,130,128,18,0.05,D,M,M,M,M,NP,0.0,29.5,29.508,M
MAE,Madera,2023-01-05 02:00,60,52,10,188,181,10,0.05,N,M,M,M,M,NP,0.0,29.536,29.544,M
MAE,Madera,2023-01-05 03:00,60,50,13,165,163,16,0.05,N,M,M,M,M,NP,0.0,29.535,29.543,M
MAE,Madera,2023-01-05 04:00,60,50,14,156,153,17,0.05,N,M,M,M,M,NP,0.0,29.542,29.55,M
MAE,Madera,2023-01-05 05:00,59,51,17,194,197,22,0.671,N,M,M,M,M,R ,0.0,29.604,29.612,M
MAE,Madera,2023-01-05 06:00,57,50,19,165,163,23,0.253,N,M,M,M,M,R-,0.0,29.598,29.606,M
MAE,Madera,2023-01-05 07:00,57,50,24,142,150,31,0.05,N,M,M,M,M,NP,0.0,29.508,29.515,M
MAE,Madera,2023-01-05 08:00,57,49,20,139,142,21,0.05,N,M,M,M,M,NP,0.0,29.543,29.551,M
MAE,Madera,2023-01-05 09:00,57,49,17,140,133,22,0.05,N,M,M,M,M,NP,0.0,29.536,29.544,M
MAE,Madera,2023-01-05 10:00,55,50,20,123,130,23,0.377,N,M,M,M,M,R-,0.0,29.53,29.538,M
MAE,Madera,2023-01-05 11:00,56,50,17,126,122,21,0.05,N,M,M,M,M,NP,0.0,29.516,29.523,M
MAE,Madera,2023-01-05 12:00,54,50,19,143,143,22,0.419,N,M,M,M,M,R-,0.0,29.534,29.541,M
MAE,Madera,2023-01-05 13:00,54,50,14,145,138,17,0.05,N,M,M,M,M,NP,0.0,29.535,29.543,M
MAE,Madera,2023-01-05 14:00,54,50,12,142,154,13,0.05,N,M,M,M,M,NP,0.0,29.561,29.568,M
MAE,Madera,2023-01-05 15:00,53,49,8,106,106,9,0.05,N,M,M,M,M,NP,0.0,29.579,29.586,M
MAE,Madera,2023-01-05 16:00,54,49,10,116,111,12,0.05,D,M,M,M,M,NP,0.0,29.611,29.619,M
MAE,Madera,2023-01-05 17:00,55,50,14,123,130,17,0.05,D,M,M,M,M,NP,0.0,29.633,29.641,M
MAE,Madera,2023-01-05 18:00,55,51,8,119,117,10,0.094,D,M,M,M,M,?2,0.0,29.658,29.666,M
MAE,Madera,2023-01-05 19:00,57,51,15,139,147,17,0.051,D,M,M,M,M,NP,0.0,29.654,29.662,M
MAE,Madera,2023-01-05 20:00,59,51,14,141,146,19,0.056,D,M,M,M,M,NP,0.0,29.646,29.654,M
MAE,Madera,2023-01-05 21:00,58,51,12,141,140,14,0.144,D,M,M,M,M,R-,0.0,29.638,29.646,M
MAE,Madera,2023-01-05 22:00,56,53,12,224,229,13,0.65,D,M,M,M,M,R-,0.0,29.65,29.658,M
MAE,Madera,2023-01-05 23:00,52,47,7,255,253,8,0.05,D,M,M,M,M,NP,0.0,29.687,29.695,M
MAE,Madera,2023-01-06 00:00,53,48,1,264,282,2,0.05,D,M,M,M,M,NP,0.0,29.723,29.731,M
MAE,Madera,2023-01-06 01:00,53,47,5,272,274,6,0.05,D,M,M,M,M,NP,0.0,29.763,29.771,M
MAE,Madera,2023-01-06 02:00,53,47,4,352,358,4,0.05,N,M,M,M,M,NP,0.0,29.818,29.827,M
MAE,Madera,2023-01-06 03:00,51,48,4,96,99,4,0.066,N,M,M,M,M,NP,0.0,29.864,29.872,M
MAE,Madera,2023-01-06 04:00,51,48,3,156,155,3,0.096,N,M,M,M,M,NP,0.0,29.896,29.904,M
MAE,Madera,2023-01-06 05:00,51,48,6,84,85,7,0.615,N,M,M,M,M,R-,0.0,29.928,29.936,M
MAE,Madera,2023-01-06 06:00,49,47,7,122,119,9,0.057,N,M,M,M,M,NP,0.0,29.945,29.954,M
MAE,Madera,2023-01-06 07:00,47,45,6,93,95,6,0.096,N,M,M,M,M,NP,0.0,29.961,29.97,M
MAE,Madera,2023-01-06 08:00,47,44,6,81,86,6,0.151,N,M,M,M,M,NP,0.0,29.962,29.97,M
MAE,Madera,2023-01-06 09:00,45,44,3,119,117,3,3.991,N,M,M,M,M,NP,0.0,29.977,29.985,M
MAE,Madera,2023-01-06 10:00,45,43,6,84,84,7,0.248,N,M,M,M,M,NP,0.0,29.983,29.991,M
MAE,Madera,2023-01-06 11:00,44,42,5,95,92,5,0.113,N,M,M,M,M,NP,0.0,29.985,29.993,M
MAE,Madera,2023-01-06 12:00,43,40,5,87,88,5,0.05,N,M,M,M,M,NP,0.0,29.98,29.988,M
MAE,Madera,2023-01-06 13:00,42,39,3,87,83,4,0.05,N,M,M,M,M,NP,0.0,29.973,29.98,M
MAE,Madera,2023-01-06 14:00,41,39,4,77,72,4,0.054,N,M,M,M,M,NP,0.0,29.96,29.967,M
MAE,Madera,2023-01-06 15:00,40,37,2,109,114,2,0.05,N,M,M,M,M,NP,0.0,29.975,29.982,M
MAE,Madera,2023-01-06 16:00,41,39,4,142,142,4,0.11,D,M,M,M,M,NP,0.0,29.992,29.999,M
MAE,Madera,2023-01-06 17:00,47,41,3,74,75,4,0.05,D,M,M,M,M,NP,0.0,30.028,30.036,M
MAE,Madera,2023-01-06 18:00,50,44,3,105,125,4,0.05,D,M,M,M,M,NP,0.0,30.071,30.079,M
MAE,Madera,2023-01-06 19:00,53,46,5,100,99,5,0.057,D,M,M,M,M,NP,0.0,30.065,30.074,M
MAE,Madera,2023-01-06 20:00,55,47,10,117,122,12,0.05,D,M,M,M,M,NP,0.0,30.025,30.033,M
MAE,Madera,2023-01-06 21:00,58,47,10,139,146,13,0.05,D,M,M,M,M,NP,0.0,29.988,29.996,M
MAE,Madera,2023-01-06 22:00,58,45,9,152,152,10,0.05,D,M,M,M,M,NP,0.0,29.973,29.981,M
MAE,Madera,2023-01-06 23:00,58,45,6,153,152,6,0.05,D,M,M,M,M,NP,0.0,29.963,29.971,M
MAE,Madera,2023-01-07 00:00,57,44,4,182,179,5,0.05,D,M,M,M,M,NP,0.0,29.964,29.972,M
MAE,Madera,2023-01-07 01:00,54,45,2,187,184,3,0.05,D,M,M,M,M,NP,0.0,29.96,29.968,M
MAE,Madera,2023-01-07 02:00,49,44,0,55,47,1,0.057,N,M,M,M,M,NP,0.0,29.959,29.967,M
MAE,Madera,2023-01-07 03:00,51,45,4,89,89,5,0.094,N,M,M,M,M,NP,0.0,29.961,29.969,M
MAE,Madera,2023-01-07 04:00,49,44,4,75,70,4,0.073,N,M,M,M,M,NP,0.0,29.953,29.961,M
MAE,Madera,2023-01-07 05:00,46,43,3,75,77,3,0.059,N,M,M,M,M,NP,0.0,29.955,29.963,M
MAE,Madera,2023-01-07 06:00,47,43,9,92,92,10,0.072,N,M,M,M,M,NP,0.0,29.935,29.944,M
MAE,Madera,2023-01-07 07:00,47,43,3,135,134,3,0.056,N,M,M,M,M,NP,0.0,29.941,29.949,M
MAE,Madera,2023-01-07 08:00,47,43,7,100,101,8,0.093,N,M,M,M,M,NP,0.0,29.918,29.926,M
MAE,Madera,2023-01-07 09:00,47,43,7,103,102,7,0.079,N,M,M,M,M,NP,0.0,29.894,29.902,M
MAE,Madera,2023-01-07 10:00,47,43,6,113,114,8,0.05,N,M,M,M,M,NP,0.0,29.885,29.892,M
MAE,Madera,2023-01-07 11:00,47,43,4,148,140,5,0.05,N,M,M,M,M,NP,0.0,29.886,29.894,M
MAE,Madera,2023-01-07 12:00,47,43,7,112,116,8,0.088,N,M,M,M,M,NP,0.0,29.876,29.884,M
MAE,Madera,2023-01-07 23:00,61,43,8,165,171,10,0.05,D,M,M,M,M,NP,0.0,29.748,29.757,M
MAE,Madera,2023-01-08 00:00,59,43,8,116,117,9,0.05,D,M,M,M,M,NP,0.0,29.745,29.753,M
MAE,Madera,2023-01-08 01:00,59,41,11,124,123,12,0.05,N,M,M,M,M,NP,0.0,29.758,29.767,M
MAE,Madera,2023-01-08 02:00,58,40,6,74,73,5,0.144,N,M,M,M,M,R-,0.0,29.769,29.778,M
MAE,Madera,2023-01-08 03:00,56,42,6,126,127,7,0.061,N,M,M,M,M,NP,0.0,29.8,29.809,M
MAE,Madera,2023-01-08 04:00,58,40,9,134,126,11,0.05,N,M,M,M,M,NP,0.0,29.766,29.774,M
MAE,Madera,2023-01-08 05:00,61,38,16,132,128,22,0.05,N,M,M,M,M,NP,0.0,29.743,29.752,M
MAE,Madera,2023-01-08 06:00,57,42,21,153,159,27,0.146,N,M,M,M,M,R-,0.0,29.789,29.797,M
MAE,Madera,2023-01-08 07:00,55,42,10,113,178,21,0.319,N,M,M,M,M,R-,0.0,29.809,29.816,M
MAE,Madera,2023-01-08 08:00,56,42,6,147,153,8,0.065,N,M,M,M,M,P ,0.0,29.805,29.813,M
MAE,Madera,2023-01-08 09:00,57,40,17,158,167,23,0.269,N,M,M,M,M,R-,0.0,29.758,29.766,M
MAE,Madera,2023-01-08 10:00,57,41,17,117,115,20,0.05,N,M,M,M,M,NP,0.0,29.717,29.725,M
MAE,Madera,2023-01-08 12:00,55,43,16,128,128,20,0.05,N,M,M,M,M,R-,0.0,29.73,29.738,M
MAE,Madera,2023-01-08 13:00,54,43,17,120,120,21,0.05,N,M,M,M,M,NP,0.0,29.734,29.742,M
MAE,Madera,2023-01-08 14:00,52,46,15,123,138,18,0.247,N,M,M,M,M,R-,0.0,29.783,29.79,M
MAE,Madera,2023-01-08 15:00,51,46,6,44,13,7,0.721,N,M,M,M,M,R-,0.0,29.838,29.845,M
MAE,Madera,2023-01-08 16:00,50,48,13,77,74,14,0.835,D,M,M,M,M,R-,0.0,29.854,29.862,M
MAE,Madera,2023-01-08 17:00,51,47,15,82,81,18,0.118,D,M,M,M,M,NP,0.0,29.87,29.878,M
MAE,Madera,2023-01-08 18:00,55,48,12,97,91,14,0.05,D,M,M,M,M,NP,0.0,29.885,29.894,M
MAE,Madera,2023-01-08 19:00,56,47,16,119,118,18,0.05,D,M,M,M,M,NP,0.0,29.881,29.89,M
MAE,Madera,2023-01-08 20:00,58,47,20,123,121,23,0.05,D,M,M,M,M,NP,0.0,29.85,29.859,M
MAE,Madera,2023-01-08 21:00,59,49,15,123,127,17,0.05,D,M,M,M,M,NP,0.0,29.821,29.829,M
MAE,Madera,2023-01-08 22:00,59,49,10,142,145,11,0.05,D,M,M,M,M,NP,0.0,29.806,29.814,M
MAE,Madera,2023-01-08 23:00,59,50,9,134,129,12,0.05,D,M,M,M,M,NP,0.0,29.787,29.795,M
MAE,Madera,2023-01-09 00:00,59,50,7,136,137,8,0.05,D,M,M,M,M,NP,0.0,29.79,29.798,M
MAE,Madera,2023-01-09 01:00,58,51,7,116,119,8,0.05,N,M,M,M,M,NP,0.0,29.783,29.791,M
MAE,Madera,2023-01-09 02:00,57,50,8,123,123,9,0.05,N,M,M,M,M,NP,0.0,29.776,29.784,M
MAE,Madera,2023-01-09 03:00,57,51,9,113,115,10,0.05,N,M,M,M,M,NP,0.0,29.769,29.777,M
MAE,Madera,2023-01-09 04:00,57,51,9,132,132,10,0.05,N,M,M,M,M,NP,0.0,29.775,29.784,M
MAE,Madera,2023-01-09 05:00,56,52,7,109,106,8,0.05,N,M,M,M,M,NP,0.0,29.766,29.774,M
MAE,Madera,2023-01-09 06:00,57,52,11,92,92,13,0.05,N,M,M,M,M,?2,0.0,29.724,29.733,M
MAE,Madera,2023-01-09 07:00,57,52,8,143,136,8,0.05,N,M,M,M,M,NP,0.0,29.712,29.72,M
MAE,Madera,2023-01-09 08:00,55,52,3,184,180,5,0.127,N,M,M,M,M,R-,0.0,29.69,29.698,M
MAE,Madera,2023-01-09 09:00,56,52,9,115,114,11,0.486,N,M,M,M,M,R-,0.0,29.657,29.666,M
MAE,Madera,2023-01-09 10:00,55,52,13,120,119,15,0.24,N,M,M,M,M,R-,0.0,29.649,29.657,M
MAE,Madera,2023-01-09 11:00,56,52,18,108,103,19,0.639,N,M,M,M,M,R ,0.01,29.627,29.636,M
MAE,Madera,2023-01-09 12:00,55,52,22,102,104,24,0.322,N,M,M,M,M,R-,0.0,29.596,29.604,M
MAE,Madera,2023-01-09 13:00,55,51,26,112,107,31,0.718,N,M,M,M,M,R-,0.0,29.549,29.557,M
MAE,Madera,2023-01-09 14:00,56,53,23,124,134,28,0.497,N,M,M,M,M,R-,0.0,29.54,29.548,M
MAE,Madera,2023-01-09 15:00,57,54,23,129,130,29,0.386,N,M,M,M,M,R-,0.0,29.538,29.546,M
MAE,Madera,2023-01-09 16:00,58,54,22,131,134,27,0.331,D,M,M,M,M,R-,0.0,29.532,29.54,M
MAE,Madera,2023-01-09 17:00,58,54,19,145,141,24,0.366,D,M,M,M,M,R-,0.0,29.541,29.549,M
MAE,Madera,2023-01-09 18:00,58,55,18,151,148,22,0.565,D,M,M,M,M,R-,0.0,29.574,29.583,M
MAE,Madera,2023-01-09 19:00,58,56,7,163,159,8,0.351,D,M,M,M,M,R-,0.0,29.604,29.612,M
MAE,Madera,2023-01-09 20:00,59,57,7,168,166,9,0.371,D,M,M,M,M,R-,0.0,29.596,29.605,M
MAE,Madera,2023-01-09 21:00,59,57,8,134,133,10,0.392,D,M,M,M,M,R-,0.0,29.569,29.577,M
MAE,Madera,2023-01-09 22:00,59,57,8,148,147,9,0.48,D,M,M,M,M,R-,0.0,29.563,29.571,M
MAE,Madera,2023-01-09 23:00,58,57,6,113,112,7,0.268,D,M,M,M,M,R-,0.0,29.548,29.557,M
MAE,Madera,2023-01-10 00:00,59,57,8,150,154,9,0.253,D,M,M,M,M,R-,0.0,29.548,29.557,M
MAE,Madera,2023-01-10 01:00,59,57,20,117,116,23,0.175,N,M,M,M,M,NP,0.0,29.454,29.462,M
MAE,Madera,2023-01-10 02:00,59,57,13,148,142,15,0.06,N,M,M,M,M,NP,0.0,29.491,29.499,M
MAE,Madera,2023-01-10 03:00,59,57,15,144,148,18,0.05,N,M,M,M,M,NP,0.0,29.497,29.505,M
MAE,Madera,2023-01-10 04:00,59,56,13,147,154,15,0.296,N,M,M,M,M,R-,0.0,29.522,29.53,M
MAE,Madera,2023-01-10 05:00,59,56,12,140,136,14,0.05,N,M,M,M,M,NP,0.0,29.515,29.523,M
MAE,Madera,2023-01-10 06:00,58,56,11,129,136,15,0.05,N,M,M,M,M,NP,0.0,29.541,29.55,M
MAE,Madera,2023-01-10 07:00,58,55,11,122,122,16,0.05,N,M,M,M,M,NP,0.0,29.544,29.553,M
MAE,Madera,2023-01-10 08:00,58,55,14,126,129,16,0.05,N,M,M,M,M,NP,0.0,29.531,29.54,M
MAE,Madera,2023-01-10 09:00,58,54,16,126,129,18,0.05,N,M,M,M,M,NP,0.0,29.505,29.514,M
MAE,Madera,2023-01-10 10:00,59,54,17,126,122,18,0.05,N,M,M,M,M,NP,0.0,29.516,29.524,M
MAE,Madera,2023-01-10 11:00,60,54,20,124,123,24,0.05,N,M,M,M,M,NP,0.0,29.481,29.489,M
MAE,Madera,2023-01-10 12:00,60,53,12,139,145,14,0.05,N,M,M,M,M,NP,0.0,29.469,29.478,M
MAE,Madera,2023-01-10 13:00,59,53,12,162,164,15,0.582,N,M,M,M,M,R ,0.0,29.479,29.487,M
MAE,Madera,2023-01-10 14:00,55,51,8,180,183,10,0.08,N,M,M,M,M,?2,0.0,29.52,29.528,M
MAE,Madera,2023-01-10 15:00,54,47,8,147,144,8,0.05,N,M,M,M,M,NP,0.0,29.521,29.53,M
MAE,Madera,2023-01-10 16:00,53,49,7,134,134,8,0.05,D,M,M,M,M,NP,0.0,29.568,29.576,M
MAE,Madera,2023-01-10 17:00,54,48,11,142,133,13,0.05,D,M,M,M,M,NP,0.0,29.598,29.606,M
MAE,Madera,2023-01-10 18:00,55,49,11,139,145,13,0.05,D,M,M,M,M,NP,0.0,29.639,29.648,M
MAE,Madera,2023-01-10 19:00,56,49,13,138,123,16,0.121,D,M,M,M,M,R-,0.0,29.634,29.643,M
MAE,Madera,2023-01-10 20:00,56,48,12,183,186,14,0.058,D,M,M,M,M,NP,0.0,29.626,29.635,M
MAE,Madera,2023-01-10 21:00,58,46,9,215,201,11,0.05,D,M,M,M,M,NP,0.0,29.63,29.638,M
MAE,Madera,2023-01-10 22:00,57,43,11,243,238,13,0.05,D,M,M,M,M,NP,0.0,29.642,29.65,M
MAE,Madera,2023-01-10 23:00,58,42,8,258,251,11,0.05,D,M,M,M,M,NP,0.0,29.667,29.675,M
MAE,Madera,2023-01-11 00:00,58,42,7,236,236,9,0.05,D,M,M,M,M,NP,0.0,29.69,29.698,M
