dataid,localminute,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
3700,2019-06-24 15:45:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.783,122.524
3700,2019-06-24 15:44:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.047,,,,,,,,,,,,,,,122.8,122.545
3700,2019-06-24 15:43:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.916,122.661
3700,2019-06-24 15:42:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.916,122.661
3700,2019-06-24 15:41:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.464,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.892,122.634
3700,2019-06-24 15:40:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.88,122.652
3700,2019-06-24 15:39:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.888,122.658
3700,2019-06-24 15:38:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.762,122.53
3700,2019-06-24 15:37:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.722,122.491
3700,2019-06-24 15:36:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.81,122.578
3700,2019-06-24 15:35:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.845,122.613
3700,2019-06-24 15:34:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.857,122.608
3700,2019-06-24 15:33:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.464,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.795,122.551
3700,2019-06-24 15:32:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.817,122.613
3700,2019-06-24 15:31:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.845,122.646
3700,2019-06-24 15:30:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.879,122.664
3700,2019-06-24 15:29:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.729,122.513
3700,2019-06-24 15:28:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.464,0.0,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.509,122.293
3700,2019-06-24 15:27:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.5,122.284
3700,2019-06-24 15:26:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.58,122.364
3700,2019-06-24 15:25:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.685,122.487
3700,2019-06-24 15:24:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.847,122.647
3700,2019-06-24 15:23:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.818,122.614
3700,2019-06-24 15:22:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.492,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.732,122.53
3700,2019-06-24 15:21:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.698,122.503
3700,2019-06-24 15:20:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.696,122.487
3700,2019-06-24 15:19:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.046,,,,,,,,,,,,,,,122.765,122.551
3700,2019-06-24 15:18:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.563,122.47
3700,2019-06-24 15:17:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472,0.001,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.323,122.468
3700,2019-06-24 15:16:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.046,,,,,,,,,,,,,,,122.608,122.657
3700,2019-06-24 15:15:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.046,,,,,,,,,,,,,,,122.948,122.719
3700,2019-06-24 15:14:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.875,122.647
3700,2019-06-24 15:13:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.838,122.607
3700,2019-06-24 15:12:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.005,,,,,,,,0.048,,,,,,,,,,,,,,,122.856,122.634
3700,2019-06-24 15:11:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.865,122.641
3700,2019-06-24 15:10:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.471,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.876,122.653
3700,2019-06-24 15:09:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514,0.001,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.813,122.579
5997,2019-06-24 15:59:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.868,,,,,,,,,0.002,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.442,,,,0.499,,0.0,,,,121.71,122.323
5997,2019-06-24 15:58:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.947,,,,,,,,,0.002,,0.012,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.522,,,,0.5,,0.0,,,,121.746,122.286
5997,2019-06-24 15:57:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.96,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.558,,,,0.501,,0.0,,,,121.891,122.577
5997,2019-06-24 15:56:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-0.958,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.607,,,,0.502,,0.0,,,,121.996,122.776
3700,2019-06-24 15:08:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.479,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.757,122.538
3700,2019-06-24 15:07:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.727,122.508
3700,2019-06-24 15:06:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.766,122.547
3700,2019-06-24 15:05:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.758,122.542
3700,2019-06-24 15:04:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.468,0.001,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.749,122.539
3700,2019-06-24 15:03:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.469,0.0,,,,,,0.001,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.832,122.622
3700,2019-06-24 15:02:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.467,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.796,122.585
3700,2019-06-24 15:01:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.475,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.048,,,,,,,,,,,,,,,122.744,122.532
3700,2019-06-24 15:00:00-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.465,0.0,,,,,,0.002,,,,,,,,,,0.012,,0.003,,,,0.006,,,,,,,,0.047,,,,,,,,,,,,,,,122.605,122.403
5997,2019-06-24 15:00:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.388,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.526,,,,0.067,,0.0,,,,122.291,122.667
5997,2019-06-24 15:54:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.067,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.717,,,,0.503,,0.001,,,,122.053,122.849
5997,2019-06-24 15:53:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.107,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.759,,,,0.505,,0.0,,,,122.142,122.952
5997,2019-06-24 15:52:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.145,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.799,,,,0.505,,0.0,,,,122.17,122.961
5997,2019-06-24 15:51:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.145,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.799,,,,0.505,,0.0,,,,122.016,122.808
5997,2019-06-24 15:50:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.188,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.842,,,,0.504,,0.0,,,,122.026,122.817
5997,2019-06-24 15:49:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.499,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.152,,,,0.503,,0.0,,,,121.927,122.859
5997,2019-06-24 15:48:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.404,,,,,,,,,0.025,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.08,,,,0.503,,0.0,,,,121.823,122.814
5997,2019-06-24 15:47:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.168,,,,,,,,,0.1,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.918,,,,0.502,,0.0,,,,121.608,122.672
5997,2019-06-24 15:46:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.114,,,,,,,,,0.1,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.863,,,,0.501,,0.0,,,,121.718,122.809
5997,2019-06-24 15:45:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.152,,,,,,,,,0.1,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,1.9,,,,0.499,,0.0,,,,121.307,122.351
5997,2019-06-24 15:44:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.244,,,,,,,,,0.101,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,1.994,,,,0.498,,0.0,,,,121.35,122.35
5997,2019-06-24 15:43:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.422,,,,,,,,,0.102,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.173,,,,0.497,,0.0,,,,121.839,122.86
5997,2019-06-24 15:42:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.78,,,,,,,,,0.104,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.524,,,,0.489,,0.0,,,,121.825,122.836
5997,2019-06-24 15:41:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.83,,,,,,,,,0.107,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.565,,,,0.477,,0.0,,,,121.845,122.858
5997,2019-06-24 15:40:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.036,,,,,,,,,0.11,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.434,,,,0.135,,0.0,,,,122.005,122.724
5997,2019-06-24 15:39:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.2,,,,,,,,,0.11,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.542,,,,0.077,,0.0,,,,122.073,122.812
5997,2019-06-24 15:38:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.359,,,,,,,,,0.11,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.7,,,,0.077,,0.0,,,,122.02,122.8
5997,2019-06-24 15:37:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.063,,,,,,,,,0.11,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.406,,,,0.077,,0.0,,,,122.063,122.813
5997,2019-06-24 15:36:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.031,,,,,,,,,0.11,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.376,,,,0.077,,0.0,,,,121.907,122.627
5997,2019-06-24 15:35:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.871,,,,,,,,,0.111,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.218,,,,0.077,,0.0,,,,121.816,122.551
5997,2019-06-24 15:34:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.923,,,,,,,,,0.111,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.271,,,,0.077,,0.0,,,,121.807,122.581
5997,2019-06-24 15:33:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.159,,,,,,,,,0.111,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.511,,,,0.077,,0.0,,,,122.046,122.821
5997,2019-06-24 15:32:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.606,,,,,,,,,0.112,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.949,,,,0.077,,0.0,,,,122.024,122.653
5997,2019-06-24 15:31:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.526,,,,,,,,,0.114,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.782,,,,0.076,,0.0,,,,121.756,122.265
5997,2019-06-24 15:30:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.496,,,,,,,,,0.122,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.76,,,,0.077,,0.0,,,,121.9,122.469
5997,2019-06-24 15:29:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.676,,,,,,,,,0.081,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.9,,,,0.077,,0.0,,,,122.11,122.668
5997,2019-06-24 15:28:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-3.012,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.158,,,,0.077,,-0.001,,,,122.264,122.745
5997,2019-06-24 15:27:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.734,,,,,,,,,0.002,,0.011,,,,,,,,0.002,,,,,,,,,,,,,,,,,2.88,,,,0.077,,0.0,,,,122.19,122.671
5997,2019-06-24 15:26:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.117,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.262,,,,0.077,,0.0,,,,122.26,122.725
5997,2019-06-24 15:25:00-05,,,,,,0.001,,,,,,,,,,,0.001,,,,0.0,,0.0,,,,,0.002,,-4.081,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,4.223,,,,0.077,,-0.001,,,,122.549,123.031
5997,2019-06-24 15:24:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.741,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.89,,,,0.084,,-0.001,,,,122.52,123.015
5997,2019-06-24 15:23:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.544,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.689,,,,0.08,,-0.001,,,,122.414,122.904
5997,2019-06-24 15:22:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.002,,-3.435,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,3.573,,,,0.071,,-0.001,,,,122.414,122.848
5997,2019-06-24 15:21:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-2.42,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.937,,,,0.448,,0.0,,,,122.081,122.868
5997,2019-06-24 15:20:00-05,,,,,,0.001,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,0.003,,-1.686,,,,,,,,,0.002,,0.011,,,,,,,,0.001,,,,,,,,,,,,,,,,,2.255,,,,0.497,,0.0,,,,121.966,122.78
